State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount,Region
Andaman and Nicobar Islands,2019,2,Peer-to-peer payments,14481,107525358.66652839,Southern Region
Andaman and Nicobar Islands,2019,2,Merchant payments,4031,4702152.616619372,Southern Region
Andaman and Nicobar Islands,2019,2,Financial Services,124,113278.91371326067,Southern Region
Andaman and Nicobar Islands,2019,2,Others,377,671471.222589792,Southern Region
Andaman and Nicobar Islands,2019,3,Recharge & bill payments,16219,8171737.705916681,Southern Region
Andaman and Nicobar Islands,2019,3,Peer-to-peer payments,13767,101079821.10344611,Southern Region
Andaman and Nicobar Islands,2019,3,Merchant payments,3519,4428734.574846684,Southern Region
Andaman and Nicobar Islands,2019,3,Financial Services,50,158857.94315586874,Southern Region
Andaman and Nicobar Islands,2019,3,Others,215,232624.75992853564,Southern Region
Andaman and Nicobar Islands,2019,4,Peer-to-peer payments,18128,121493224.3075451,Southern Region
Andaman and Nicobar Islands,2019,4,Recharge & bill payments,13851,9538690.916424634,Southern Region
Andaman and Nicobar Islands,2019,4,Merchant payments,2920,5247500.487902376,Southern Region
Andaman and Nicobar Islands,2019,4,Financial Services,60,295937.2110898865,Southern Region
Andaman and Nicobar Islands,2019,4,Others,200,263177.5944158883,Southern Region
Andaman and Nicobar Islands,2020,1,Peer-to-peer payments,18324,142332401.7923477,Southern Region
Andaman and Nicobar Islands,2020,1,Recharge & bill payments,18268,10850414.023977451,Southern Region
Andaman and Nicobar Islands,2020,1,Merchant payments,4424,7752871.558217709,Southern Region
Andaman and Nicobar Islands,2020,1,Financial Services,66,208231.73071652642,Southern Region
Andaman and Nicobar Islands,2020,1,Others,216,332393.19201521645,Southern Region
Andaman and Nicobar Islands,2020,2,Recharge & bill payments,38125,17659622.73418829,Southern Region
Andaman and Nicobar Islands,2020,2,Peer-to-peer payments,20303,141728757.73517442,Southern Region
Andaman and Nicobar Islands,2020,2,Merchant payments,4004,9236375.740471343,Southern Region
Andaman and Nicobar Islands,2020,2,Financial Services,175,706932.1397115812,Southern Region
Andaman and Nicobar Islands,2020,2,Others,355,313313.0646014327,Southern Region
Andaman and Nicobar Islands,2020,3,Recharge & bill payments,59310,24756220.87546935,Southern Region
Andaman and Nicobar Islands,2020,3,Peer-to-peer payments,40697,289078946.7312394,Southern Region
Andaman and Nicobar Islands,2020,3,Merchant payments,16096,22682992.238478817,Southern Region
Andaman and Nicobar Islands,2020,3,Financial Services,572,961836.7129860274,Southern Region
Andaman and Nicobar Islands,2020,3,Others,808,539449.7721868362,Southern Region
Andaman and Nicobar Islands,2020,4,Peer-to-peer payments,81439,533316526.1814983,Southern Region
Andaman and Nicobar Islands,2020,4,Recharge & bill payments,80811,33710030.53438324,Southern Region
Andaman and Nicobar Islands,2020,4,Merchant payments,59391,56867468.94000395,Southern Region
Andaman and Nicobar Islands,2020,4,Financial Services,965,1880546.9672370641,Southern Region
Andaman and Nicobar Islands,2020,4,Others,1925,1508083.6917299272,Southern Region
Andaman and Nicobar Islands,2021,1,Peer-to-peer payments,105458,665391395.715478,Southern Region
Andaman and Nicobar Islands,2021,1,Recharge & bill payments,84119,37160922.86506996,Southern Region
Andaman and Nicobar Islands,2021,1,Merchant payments,53090,78606979.05751458,Southern Region
Andaman and Nicobar Islands,2021,1,Financial Services,884,1469351.0852598653,Southern Region
Andaman and Nicobar Islands,2021,1,Others,1201,1077918.666433228,Southern Region
Andaman and Nicobar Islands,2021,2,Peer-to-peer payments,132772,748382044.7707307,Southern Region
Andaman and Nicobar Islands,2021,2,Recharge & bill payments,120911,43691961.26275121,Southern Region
Andaman and Nicobar Islands,2021,2,Merchant payments,85143,103707408.5090846,Southern Region
Andaman and Nicobar Islands,2021,2,Financial Services,960,2038521.5136710338,Southern Region
Andaman and Nicobar Islands,2021,2,Others,1628,1327080.0560584562,Southern Region
Andaman and Nicobar Islands,2021,3,Peer-to-peer payments,192321,1077787837.156299,Southern Region
Andaman and Nicobar Islands,2021,3,Recharge & bill payments,136010,51243450.85925055,Southern Region
Andaman and Nicobar Islands,2021,3,Merchant payments,118340,176991328.21761322,Southern Region
Andaman and Nicobar Islands,2021,3,Financial Services,990,2351013.441729573,Southern Region
Andaman and Nicobar Islands,2021,3,Others,2103,1650766.1267105162,Southern Region
Andaman and Nicobar Islands,2021,4,Peer-to-peer payments,285778,1544932663.274458,Southern Region
Andaman and Nicobar Islands,2021,4,Merchant payments,210164,322842314.6243375,Southern Region
Andaman and Nicobar Islands,2021,4,Recharge & bill payments,135608,59243518.11464359,Southern Region
Andaman and Nicobar Islands,2021,4,Financial Services,1718,3137965.167474068,Southern Region
Andaman and Nicobar Islands,2021,4,Others,2855,2453640.142743944,Southern Region
Andaman and Nicobar Islands,2022,1,Peer-to-peer payments,342649,1682328505.725447,Southern Region
Andaman and Nicobar Islands,2022,1,Merchant payments,284298,370091558.683733,Southern Region
Andaman and Nicobar Islands,2022,1,Recharge & bill payments,163401,71300133.66101265,Southern Region
Andaman and Nicobar Islands,2022,1,Financial Services,1757,2869682.0229511866,Southern Region
Andaman and Nicobar Islands,2022,1,Others,2643,2440321.9820225406,Southern Region
Andaman and Nicobar Islands,2022,2,Merchant payments,449540,510838980.9061847,Southern Region
Andaman and Nicobar Islands,2022,2,Peer-to-peer payments,437606,2088309073.4552839,Southern Region
Andaman and Nicobar Islands,2022,2,Recharge & bill payments,179515,82232936.61795367,Southern Region
Andaman and Nicobar Islands,2022,2,Financial Services,1448,2089862.3927160464,Southern Region
Andaman and Nicobar Islands,2022,2,Others,3108,2449496.7081265687,Southern Region
Andaman and Nicobar Islands,2022,3,Merchant payments,716105,693438186.2965411,Southern Region
Andaman and Nicobar Islands,2022,3,Peer-to-peer payments,622217,2514535154.56483,Southern Region
Andaman and Nicobar Islands,2022,3,Recharge & bill payments,240766,97748065.62714244,Southern Region
Andaman and Nicobar Islands,2022,3,Financial Services,1814,2166304.9779766416,Southern Region
Andaman and Nicobar Islands,2022,3,Others,3477,2744060.670897343,Southern Region
Andaman and Nicobar Islands,2022,4,Merchant payments,956536,906365300.658504,Southern Region
Andaman and Nicobar Islands,2022,4,Peer-to-peer payments,768758,2961630584.8271313,Southern Region
Andaman and Nicobar Islands,2022,4,Recharge & bill payments,256050,110037119.6694117,Southern Region
Andaman and Nicobar Islands,2022,4,Financial Services,2499,3533987.2301130476,Southern Region
Andaman and Nicobar Islands,2022,4,Others,3692,3107412.043626394,Southern Region
Andhra Pradesh,2018,1,Recharge & bill payments,5027448,892293975.6698563,Southern Region
Andhra Pradesh,2018,1,Peer-to-peer payments,3049646,10524250283.17878,Southern Region
Andhra Pradesh,2018,1,Merchant payments,362672,247297640.2400068,Southern Region
Andhra Pradesh,2018,1,Financial Services,204305,44808449.7639544,Southern Region
Andhra Pradesh,2018,1,Others,395514,287626042.970705,Southern Region
Andhra Pradesh,2018,2,Recharge & bill payments,6456387,1598591488.488035,Southern Region
Andhra Pradesh,2018,2,Peer-to-peer payments,4745000,20451493098.895298,Southern Region
Andhra Pradesh,2018,2,Merchant payments,604847,436785223.86032957,Southern Region
Andhra Pradesh,2018,2,Financial Services,225621,68952114.81374599,Southern Region
Andhra Pradesh,2018,2,Others,322063,328092346.575651,Southern Region
Andhra Pradesh,2018,3,Peer-to-peer payments,16129591,32738630444.66872,Southern Region
Andhra Pradesh,2018,3,Recharge & bill payments,7542005,1949098146.8941922,Southern Region
Andhra Pradesh,2018,3,Merchant payments,1225416,685277254.5076212,Southern Region
Andhra Pradesh,2018,3,Financial Services,380324,60790077.57437308,Southern Region
Andhra Pradesh,2018,3,Others,348725,284248675.5700202,Southern Region
Andhra Pradesh,2018,4,Peer-to-peer payments,17580086,47011639726.136086,Southern Region
Andhra Pradesh,2018,4,Recharge & bill payments,9767083,2418164314.470957,Southern Region
Andhra Pradesh,2018,4,Merchant payments,2622131,1671585888.5682561,Southern Region
Andhra Pradesh,2018,4,Financial Services,400837,57178116.40322068,Southern Region
Andhra Pradesh,2018,4,Others,389411,315211361.2624941,Southern Region
Andhra Pradesh,2019,1,Peer-to-peer payments,37420988,77524329742.2595,Southern Region
Andhra Pradesh,2019,1,Recharge & bill payments,14022264,3480641602.3771367,Southern Region
Andhra Pradesh,2019,1,Merchant payments,5043682,2423536770.370634,Southern Region
Andhra Pradesh,2019,1,Financial Services,416325,47150177.52982048,Southern Region
Andhra Pradesh,2019,1,Others,361263,284937624.53930193,Southern Region
Andhra Pradesh,2019,2,Peer-to-peer payments,32494402,103924649232.4702,Southern Region
Andhra Pradesh,2019,2,Recharge & bill payments,14093964,4708345387.910109,Southern Region
Andhra Pradesh,2019,2,Merchant payments,9226537,4613405202.681959,Southern Region
Andhra Pradesh,2019,2,Financial Services,145310,26626696.77104253,Southern Region
Andhra Pradesh,2019,2,Others,448802,361492238.3966455,Southern Region
Andhra Pradesh,2019,3,Peer-to-peer payments,39023491,124338645329.5153,Southern Region
Andhra Pradesh,2019,3,Recharge & bill payments,20147629,6893984676.5989065,Southern Region
Andhra Pradesh,2019,3,Merchant payments,16581787,7887394038.066369,Southern Region
Andhra Pradesh,2019,3,Financial Services,122270,29778183.02708044,Southern Region
Andhra Pradesh,2019,3,Others,413437,298142027.5862577,Southern Region
Andhra Pradesh,2019,4,Peer-to-peer payments,57181511,178893550050.6875,Southern Region
Andhra Pradesh,2019,4,Merchant payments,25122370,13476303367.50486,Southern Region
Andhra Pradesh,2019,4,Recharge & bill payments,24469888,8335168605.691999,Southern Region
Andhra Pradesh,2019,4,Financial Services,105662,26796571.745749153,Southern Region
Andhra Pradesh,2019,4,Others,338672,216496893.1610287,Southern Region
Andhra Pradesh,2020,1,Peer-to-peer payments,65452143,223088554055.0475,Southern Region
Andhra Pradesh,2020,1,Merchant payments,31408022,18603161784.49699,Southern Region
Andhra Pradesh,2020,1,Recharge & bill payments,30449644,10813530777.97353,Southern Region
Andhra Pradesh,2020,1,Financial Services,75238,43739133.169823855,Southern Region
Andhra Pradesh,2020,1,Others,292310,188228538.3748976,Southern Region
Andhra Pradesh,2020,2,Peer-to-peer payments,73609921,262731724130.7907,Southern Region
Andhra Pradesh,2020,2,Recharge & bill payments,41013987,16991006436.573462,Southern Region
Andhra Pradesh,2020,2,Merchant payments,29976765,22625596525.442688,Southern Region
Andhra Pradesh,2020,2,Financial Services,140941,145274999.1567963,Southern Region
Andhra Pradesh,2020,2,Others,176241,90087654.60009979,Southern Region
Andhra Pradesh,2020,3,Peer-to-peer payments,106791894,406461788252.3205,Southern Region
Andhra Pradesh,2020,3,Merchant payments,54055557,40739580213.86052,Southern Region
Andhra Pradesh,2020,3,Recharge & bill payments,43500067,19475104674.82717,Southern Region
Andhra Pradesh,2020,3,Financial Services,243088,256074924.7187529,Southern Region
Andhra Pradesh,2020,3,Others,312329,151582519.1813668,Southern Region
Andhra Pradesh,2020,4,Peer-to-peer payments,152003791,566639138543.7709,Southern Region
Andhra Pradesh,2020,4,Merchant payments,86581460,66654048149.951675,Southern Region
Andhra Pradesh,2020,4,Recharge & bill payments,46810304,20936337211.55774,Southern Region
Andhra Pradesh,2020,4,Financial Services,265470,305168772.45601684,Southern Region
Andhra Pradesh,2020,4,Others,457527,306853355.594738,Southern Region
Andhra Pradesh,2021,1,Peer-to-peer payments,149313738,580542193013.0018,Southern Region
Andhra Pradesh,2021,1,Merchant payments,97920281,70813192713.43477,Southern Region
Andhra Pradesh,2021,1,Recharge & bill payments,41940689,20546424964.144817,Southern Region
Andhra Pradesh,2021,1,Financial Services,225355,270313028.4845201,Southern Region
Andhra Pradesh,2021,1,Others,347907,272546457.5502677,Southern Region
Andhra Pradesh,2021,2,Peer-to-peer payments,189614879,737004484057.439,Southern Region
Andhra Pradesh,2021,2,Merchant payments,112875274,88512429436.91249,Southern Region
Andhra Pradesh,2021,2,Recharge & bill payments,49626902,24646800345.106968,Southern Region
Andhra Pradesh,2021,2,Financial Services,243237,265483044.4012466,Southern Region
Andhra Pradesh,2021,2,Others,406842,308302224.3856007,Southern Region
Andhra Pradesh,2021,3,Peer-to-peer payments,221280317,837841124664.307,Southern Region
Andhra Pradesh,2021,3,Merchant payments,158290953,118164377968.1675,Southern Region
Andhra Pradesh,2021,3,Recharge & bill payments,51702350,27511344958.24361,Southern Region
Andhra Pradesh,2021,3,Financial Services,211171,297239697.8307386,Southern Region
Andhra Pradesh,2021,3,Others,547759,403948275.5675607,Southern Region
Andhra Pradesh,2021,4,Peer-to-peer payments,262006450,971269765249.1283,Southern Region
Andhra Pradesh,2021,4,Merchant payments,207538904,152883933596.5386,Southern Region
Andhra Pradesh,2021,4,Recharge & bill payments,51762842,31232784713.98579,Southern Region
Andhra Pradesh,2021,4,Financial Services,243951,332740108.6635881,Southern Region
Andhra Pradesh,2021,4,Others,701856,545223415.6638832,Southern Region
Andhra Pradesh,2022,1,Peer-to-peer payments,288488560,1089629182596.4779,Southern Region
Andhra Pradesh,2022,1,Merchant payments,242031836,169419685917.19562,Southern Region
Andhra Pradesh,2022,1,Recharge & bill payments,51224170,34473036841.83001,Southern Region
Andhra Pradesh,2022,1,Financial Services,231651,324358965.1185906,Southern Region
Andhra Pradesh,2022,1,Others,627694,474382234.25397474,Southern Region
Andhra Pradesh,2022,2,Peer-to-peer payments,321362337,1231408926513.711,Southern Region
Andhra Pradesh,2022,2,Merchant payments,292530048,205433660654.20892,Southern Region
Andhra Pradesh,2022,2,Recharge & bill payments,56606969,42408541939.06145,Southern Region
Andhra Pradesh,2022,2,Financial Services,192751,245783011.0445526,Southern Region
Andhra Pradesh,2022,2,Others,441925,357036084.9071137,Southern Region
Andhra Pradesh,2022,3,Peer-to-peer payments,298804000,1140164525892.739,Southern Region
Andhra Pradesh,2022,3,Merchant payments,291033653,202910820650.0824,Southern Region
Andhra Pradesh,2022,3,Recharge & bill payments,52467708,41438764826.203224,Southern Region
Andhra Pradesh,2022,3,Financial Services,187190,239347241.5465504,Southern Region
Andhra Pradesh,2022,3,Others,362484,323951101.5715289,Southern Region
Andhra Pradesh,2022,4,Merchant payments,321632104,211898851397.0984,Southern Region
Andhra Pradesh,2022,4,Peer-to-peer payments,315734006,1170249585983.011,Southern Region
Andhra Pradesh,2022,4,Recharge & bill payments,52098850,41986837706.47902,Southern Region
Andhra Pradesh,2022,4,Financial Services,206459,250596592.06465042,Southern Region
Andhra Pradesh,2022,4,Others,345658,339211363.0027188,Southern Region
Arunachal Pradesh,2018,1,Recharge & bill payments,28729,5184132.514934338,North-Eastern Region
Arunachal Pradesh,2018,1,Peer-to-peer payments,13320,82889682.72418305,North-Eastern Region
Arunachal Pradesh,2018,1,Merchant payments,1042,2420374.1905855755,North-Eastern Region
Arunachal Pradesh,2018,1,Financial Services,416,58893.76201533088,North-Eastern Region
Arunachal Pradesh,2018,1,Others,1990,1834252.8176908877,North-Eastern Region
Arunachal Pradesh,2018,2,Recharge & bill payments,50700,10468878.53710718,North-Eastern Region
Arunachal Pradesh,2018,2,Peer-to-peer payments,26477,181576281.1946475,North-Eastern Region
Arunachal Pradesh,2018,2,Merchant payments,2378,4718953.439561011,North-Eastern Region
Arunachal Pradesh,2018,2,Financial Services,559,363761.80159549194,North-Eastern Region
Arunachal Pradesh,2018,2,Others,2043,1842317.3691352482,North-Eastern Region
Arunachal Pradesh,2018,3,Recharge & bill payments,74122,15997565.906016491,North-Eastern Region
Arunachal Pradesh,2018,3,Peer-to-peer payments,49740,308106303.4534257,North-Eastern Region
Arunachal Pradesh,2018,3,Merchant payments,4738,5505694.567913429,North-Eastern Region
Arunachal Pradesh,2018,3,Financial Services,507,72133.845254878,North-Eastern Region
Arunachal Pradesh,2018,3,Others,2039,2044708.9687807972,North-Eastern Region
Arunachal Pradesh,2018,4,Recharge & bill payments,97751,20662691.88231327,North-Eastern Region
Arunachal Pradesh,2018,4,Peer-to-peer payments,68169,468831493.23280364,North-Eastern Region
Arunachal Pradesh,2018,4,Merchant payments,7726,11998974.1040326,North-Eastern Region
Arunachal Pradesh,2018,4,Financial Services,561,100597.90379906222,North-Eastern Region
Arunachal Pradesh,2018,4,Others,2222,2446271.9688117937,North-Eastern Region
Arunachal Pradesh,2019,1,Recharge & bill payments,121303,26796894.99823331,North-Eastern Region
Arunachal Pradesh,2019,1,Peer-to-peer payments,93494,568554821.4456317,North-Eastern Region
Arunachal Pradesh,2019,1,Merchant payments,9214,11727218.401334241,North-Eastern Region
Arunachal Pradesh,2019,1,Financial Services,256,140622.87093631705,North-Eastern Region
Arunachal Pradesh,2019,1,Others,2239,2730548.5978140826,North-Eastern Region
Arunachal Pradesh,2019,2,Recharge & bill payments,131988,30420803.41271234,North-Eastern Region
Arunachal Pradesh,2019,2,Peer-to-peer payments,106527,704237943.4054435,North-Eastern Region
Arunachal Pradesh,2019,2,Merchant payments,16828,13955724.13071291,North-Eastern Region
Arunachal Pradesh,2019,2,Financial Services,267,160660.8821362781,North-Eastern Region
Arunachal Pradesh,2019,2,Others,3046,3880742.524023137,North-Eastern Region
Arunachal Pradesh,2019,3,Recharge & bill payments,216228,50946104.94289842,North-Eastern Region
Arunachal Pradesh,2019,3,Peer-to-peer payments,133484,841037395.2474606,North-Eastern Region
Arunachal Pradesh,2019,3,Merchant payments,16900,17178248.07427002,North-Eastern Region
Arunachal Pradesh,2019,3,Financial Services,864,64089.11350267195,North-Eastern Region
Arunachal Pradesh,2019,3,Others,2758,3419197.4177385764,North-Eastern Region
Arunachal Pradesh,2019,4,Recharge & bill payments,259183,63516906.09060433,North-Eastern Region
Arunachal Pradesh,2019,4,Peer-to-peer payments,177833,1100137447.934045,North-Eastern Region
Arunachal Pradesh,2019,4,Merchant payments,19769,23192271.69157681,North-Eastern Region
Arunachal Pradesh,2019,4,Financial Services,314,305379.7987782319,North-Eastern Region
Arunachal Pradesh,2019,4,Others,2376,3421174.01227797,North-Eastern Region
Arunachal Pradesh,2020,1,Recharge & bill payments,329834,86011654.77474582,North-Eastern Region
Arunachal Pradesh,2020,1,Peer-to-peer payments,203429,1263912288.406636,North-Eastern Region
Arunachal Pradesh,2020,1,Merchant payments,31181,28553052.13391879,North-Eastern Region
Arunachal Pradesh,2020,1,Financial Services,470,337812.94816169393,North-Eastern Region
Arunachal Pradesh,2020,1,Others,2261,2943873.0666838237,North-Eastern Region
Arunachal Pradesh,2020,2,Recharge & bill payments,522495,145198528.2296113,North-Eastern Region
Arunachal Pradesh,2020,2,Peer-to-peer payments,247861,1630654426.044183,North-Eastern Region
Arunachal Pradesh,2020,2,Merchant payments,35169,46446966.61244751,North-Eastern Region
Arunachal Pradesh,2020,2,Financial Services,1310,2655507.6964110374,North-Eastern Region
Arunachal Pradesh,2020,2,Others,1939,1761404.4023099935,North-Eastern Region
Arunachal Pradesh,2020,3,Recharge & bill payments,514907,153463816.2118439,North-Eastern Region
Arunachal Pradesh,2020,3,Peer-to-peer payments,370418,2361603431.37578,North-Eastern Region
Arunachal Pradesh,2020,3,Merchant payments,72736,88145178.69272713,North-Eastern Region
Arunachal Pradesh,2020,3,Financial Services,1761,4030599.9171272423,North-Eastern Region
Arunachal Pradesh,2020,3,Others,3005,2695539.3607389224,North-Eastern Region
Arunachal Pradesh,2020,4,Peer-to-peer payments,522019,3254744938.410562,North-Eastern Region
Arunachal Pradesh,2020,4,Recharge & bill payments,513895,152389181.2174306,North-Eastern Region
Arunachal Pradesh,2020,4,Merchant payments,167387,156682926.023846,North-Eastern Region
Arunachal Pradesh,2020,4,Financial Services,1749,2391651.8783250954,North-Eastern Region
Arunachal Pradesh,2020,4,Others,4079,4055324.315454754,North-Eastern Region
Arunachal Pradesh,2021,1,Peer-to-peer payments,566209,3460488558.9436502,North-Eastern Region
Arunachal Pradesh,2021,1,Recharge & bill payments,450649,142358376.9003836,North-Eastern Region
Arunachal Pradesh,2021,1,Merchant payments,155966,204958020.08914977,North-Eastern Region
Arunachal Pradesh,2021,1,Financial Services,1558,2672460.4740365944,North-Eastern Region
Arunachal Pradesh,2021,1,Others,3074,3301662.6094231335,North-Eastern Region
Arunachal Pradesh,2021,2,Peer-to-peer payments,762946,4000960152.0755486,North-Eastern Region
Arunachal Pradesh,2021,2,Recharge & bill payments,556680,165579844.2510589,North-Eastern Region
Arunachal Pradesh,2021,2,Merchant payments,243375,283709438.5363142,North-Eastern Region
Arunachal Pradesh,2021,2,Financial Services,1582,2761076.7934988844,North-Eastern Region
Arunachal Pradesh,2021,2,Others,3755,3415105.3379601175,North-Eastern Region
Arunachal Pradesh,2021,3,Peer-to-peer payments,986088,5033603845.032885,North-Eastern Region
Arunachal Pradesh,2021,3,Recharge & bill payments,600102,187390578.30403772,North-Eastern Region
Arunachal Pradesh,2021,3,Merchant payments,314658,449869060.7842621,North-Eastern Region
Arunachal Pradesh,2021,3,Financial Services,1934,3348547.8272713376,North-Eastern Region
Arunachal Pradesh,2021,3,Others,4185,3912143.3503634185,North-Eastern Region
Arunachal Pradesh,2021,4,Peer-to-peer payments,1227616,6022733378.120082,North-Eastern Region
Arunachal Pradesh,2021,4,Recharge & bill payments,633248,207784816.33218512,North-Eastern Region
Arunachal Pradesh,2021,4,Merchant payments,521447,704195694.9939187,North-Eastern Region
Arunachal Pradesh,2021,4,Financial Services,2386,3933557.2795471298,North-Eastern Region
Arunachal Pradesh,2021,4,Others,5901,4862905.885615055,North-Eastern Region
Arunachal Pradesh,2022,1,Peer-to-peer payments,1403584,6670641250.459451,North-Eastern Region
Arunachal Pradesh,2022,1,Merchant payments,720803,917155358.7177179,North-Eastern Region
Arunachal Pradesh,2022,1,Recharge & bill payments,670576,231933129.00412327,North-Eastern Region
Arunachal Pradesh,2022,1,Financial Services,3053,3359625.792926075,North-Eastern Region
Arunachal Pradesh,2022,1,Others,6052,5002264.113148138,North-Eastern Region
Arunachal Pradesh,2022,2,Peer-to-peer payments,1751568,7627061474.687716,North-Eastern Region
Arunachal Pradesh,2022,2,Merchant payments,1108353,1255513517.363942,North-Eastern Region
Arunachal Pradesh,2022,2,Recharge & bill payments,688770,241162643.1948015,North-Eastern Region
Arunachal Pradesh,2022,2,Financial Services,2466,4063469.0998270046,North-Eastern Region
Arunachal Pradesh,2022,2,Others,5768,3864269.879579009,North-Eastern Region
Arunachal Pradesh,2022,3,Peer-to-peer payments,1967086,7365427284.274203,North-Eastern Region
Arunachal Pradesh,2022,3,Merchant payments,1316326,1413247143.488991,North-Eastern Region
Arunachal Pradesh,2022,3,Recharge & bill payments,649322,238448083.8077975,North-Eastern Region
Arunachal Pradesh,2022,3,Financial Services,1997,4763324.776043448,North-Eastern Region
Arunachal Pradesh,2022,3,Others,4687,3224948.7015704075,North-Eastern Region
Arunachal Pradesh,2022,4,Peer-to-peer payments,2251135,7768088687.67791,North-Eastern Region
Arunachal Pradesh,2022,4,Merchant payments,1704968,1669602212.917463,North-Eastern Region
Arunachal Pradesh,2022,4,Recharge & bill payments,669151,239412553.6121468,North-Eastern Region
Arunachal Pradesh,2022,4,Financial Services,2617,3785469.3993366556,North-Eastern Region
Arunachal Pradesh,2022,4,Others,4838,4020773.8953960314,North-Eastern Region
Assam,2018,1,Recharge & bill payments,632092,93491181.14056379,North-Eastern Region
Assam,2018,1,Peer-to-peer payments,318025,993525195.9818655,North-Eastern Region
Assam,2018,1,Merchant payments,40482,34501622.892667554,North-Eastern Region
Assam,2018,1,Financial Services,18172,4936862.200688562,North-Eastern Region
Assam,2018,1,Others,48110,31349593.99668264,North-Eastern Region
Assam,2018,2,Recharge & bill payments,984160,174427478.213408,North-Eastern Region
Assam,2018,2,Peer-to-peer payments,530781,2064314053.1339972,North-Eastern Region
Assam,2018,2,Merchant payments,79307,73366344.80739225,North-Eastern Region
Assam,2018,2,Financial Services,22773,7051504.657611102,North-Eastern Region
Assam,2018,2,Others,46852,31425754.72538605,North-Eastern Region
Assam,2018,3,Recharge & bill payments,1275136,254569069.32411742,North-Eastern Region
Assam,2018,3,Peer-to-peer payments,843571,3424136709.50882,North-Eastern Region
Assam,2018,3,Merchant payments,159532,96783839.37466942,North-Eastern Region
Assam,2018,3,Financial Services,22677,4741123.821880115,North-Eastern Region
Assam,2018,3,Others,50935,30904247.88478589,North-Eastern Region
Assam,2018,4,Recharge & bill payments,1703488,317661277.3470997,North-Eastern Region
Assam,2018,4,Peer-to-peer payments,1279089,5284776455.070784,North-Eastern Region
Assam,2018,4,Merchant payments,667293,240563395.2777939,North-Eastern Region
Assam,2018,4,Financial Services,28035,6331912.52655252,North-Eastern Region
Assam,2018,4,Others,56267,38689818.79087821,North-Eastern Region
Assam,2019,1,Recharge & bill payments,1993220,400281677.9438284,North-Eastern Region
Assam,2019,1,Peer-to-peer payments,1976310,7291433300.700248,North-Eastern Region
Assam,2019,1,Merchant payments,494871,266644645.7492942,North-Eastern Region
Assam,2019,1,Financial Services,20162,4612454.1127945455,North-Eastern Region
Assam,2019,1,Others,48442,39127457.94468763,North-Eastern Region
Assam,2019,2,Recharge & bill payments,2512932,539315772.8606573,North-Eastern Region
Assam,2019,2,Peer-to-peer payments,2293770,10035232820.852959,North-Eastern Region
Assam,2019,2,Merchant payments,573646,326844709.5879724,North-Eastern Region
Assam,2019,2,Financial Services,13654,4037222.414240564,North-Eastern Region
Assam,2019,2,Others,60927,49538663.41037582,North-Eastern Region
Assam,2019,3,Peer-to-peer payments,2713539,11835800855.17655,North-Eastern Region
Assam,2019,3,Recharge & bill payments,2645302,639885372.7480905,North-Eastern Region
Assam,2019,3,Merchant payments,513728,421380275.4207429,North-Eastern Region
